file_key,lat,lon,station_name,sb_cast,wf_cast,start_utc
20250416_cast1,25-31.09N,110-59.24W,PuntaMarciel,16,1,2025-04-16 16:44:00
20250416_cast2,25-29.97N,110-56.14W,PuntaMarciel,17,2,2025-04-16 17:51:00
20250417,27-4.68N,111-47.945W,Mulege,18,3,2025-04-17 14:22:00
20250418_cast1,27-14.834N,112-8.743W,SanLucasCove,19,4,2025-04-18 02:48:00
20250418_cast2,27-48.029N,112-41.465W,PuntaTrinidad,20,5,2025-04-18 17:36:00
20250419_cast1,28-30.112N,112-45.913W,DeepChannel,21,6,2025-04-19 07:10:00
20250419_cast2,29-1.210N,113-29.841W,IslaCalavera,22,7,2025-04-19 20:42:00
20250420_cast1,29-3.725N,113-28.721W,Ballenas,23,8,2025-04-20 08:21:00
20250420_cast2,29-39.274N,113-35.438W,PuntaRefugio,24,9,2025-04-20 22:30:00
20250421,28-50.474N,112-37.037W,IslaTiburon,25,10,2025-04-21 13:05:00
20250423,25-43.363N,110-59.363W,Monserrat,26,11,2025-04-23 13:45:00
20250424_cast1,25-30.497N,110-47.192W,SantaCatalina,27,12,2025-04-24 05:20:00
20250424_cast2,24-48.452N,110-29.552W,SanFrancisquito,28,13,2025-04-24 19:05:00
20250429,27-04.85N,111-48.05W,Mulege,29,14,2025-04-29 00:55:00
20250430_cast1,27-17.15N,112-07.80W,Seamount1,30,15,2025-04-30 21:32:00
20250430_cast2,27-18.11N,112-07.56W,Seamount2,31,16,2025-04-30 22:48:00
20250502_cast1,27-19.97N,112-08.86W,T12,32,17,2025-05-02 21:35:00
20250502_cast2,27-19.29N,112-09.08W,T10,33,18,2025-05-02 22:24:00
20250504_cast1,27-12.39N,112-13.86W,T2,34,19,2025-05-04 16:07:00
20250504_cast2,27-22.78N,112-11.87W,T4,35,20,2025-05-04 16:55:00
20250504_cast3,27-31.09N,112-18.69W,PP300,36,21,2025-05-04 20:46:00
20250504_cast4,27-31.53N,112-17.75W,PP500K,37,22,2025-05-04 21:50:00
20250504_cast5,27-32.54N,112-18.75W,PP500J,39,23,2025-05-04 22:24:00
20250506_cast1,27-30.38N,112-19.27W,PP40,40,24,2025-05-06 18:20:00
20250506_cast2,27-30.89N,112-19.95W,PP130,41,25,2025-05-06 21:01:00
20250506_cast3,27-30.51N,112-18.93W,PP200,42,26,2025-05-06 21:22:00
